Tool,size,CORE,PKG,seconds
likwid, 1024, 323.8147, 374.111, 17.7369
likwid, 1024, 231.4897, 259.748, 17.5256
likwid, 1024, 251.1527, 290.125, 17.49
likwid, 1024, 269.5507, 310.59, 17.5267
likwid, 1024, 272.8017, 320.604, 17.5484
likwid, 1024, 249.5867, 295.318, 17.6692
likwid, 1024, 254.9837, 303.564, 17.6075
likwid, 1024, 234.5017, 264.912, 17.3875
likwid, 1024, 254.5677, 303.909, 17.6903
likwid, 1024, 233.8507, 264.192, 17.4153
likwid, 1024, 240.8267, 280.42, 17.5849
likwid, 1024, 234.1577, 264.236, 17.5104
likwid, 1024, 246.0767, 287.352, 17.6258
likwid, 1024, 234.2737, 261.478, 17.3783
likwid, 1024, 243.9657, 285.85, 17.5289
likwid, 1024, 236.2857, 270.333, 17.461
likwid, 2048, 281.2849, 366.969, 23.5215
likwid, 2048, 251.9879, 320.979, 23.3678
likwid, 2048, 318.4479, 429.649, 23.7873
likwid, 2048, 254.1249, 320.279, 23.373
likwid, 2048, 240.2979, 287.079, 23.28
likwid, 2048, 283.1599, 379.919, 23.6147
likwid, 2048, 266.0319, 343.149, 23.4331
likwid, 2048, 258.8719, 325.739, 23.4112
likwid, 2048, 294.3269, 393.239, 23.5643
likwid, 2048, 258.6979, 324.989, 23.3634
likwid, 2048, 304.6689, 405.899, 23.6859
likwid, 2048, 279.8979, 365.849, 23.4564
likwid, 2048, 292.1889, 389.689, 23.432
likwid, 2048, 254.2009, 320.719, 23.25
likwid, 2048, 307.3769, 410.939, 23.6814
likwid, 2048, 256.7189, 323.829, 23.3641
likwid, 4096, 607.0874, 2189.77, 46.9381
likwid, 4096, 579.7474, 2149.75, 46.8303
likwid, 4096, 624.4324, 2231.98, 46.9986
likwid, 4096, 564.1804, 2121.13, 46.5892
likwid, 4096, 618.4794, 2203.57, 46.7855
likwid, 4096, 721.5174, 2358.32, 47.4619
likwid, 4096, 579.3304, 2139.24, 46.9352
likwid, 4096, 677.8154, 2328.66, 47.3975
likwid, 4096, 725.6884, 2358.08, 47.3392
likwid, 4096, 694.1174, 2307.86, 47.1209
likwid, 4096, 656.6834, 2285.17, 47.3314
likwid, 4096, 691.4074, 2329.92, 47.3904
likwid, 4096, 702.8814, 2339.44, 47.5461
likwid, 4096, 672.8704, 2312.48, 47.5165
likwid, 4096, 682.8514, 2305.56, 47.3912
likwid, 4096, 580.1294, 2149.32, 46.7959
